scenarioID,year,avgBM_0,avgBM_1,avgBM_2,avgBM_3,avgBM_4,avgBM_5,avgTD_0,avgTD_1,avgTD_2,avgTD_3,avgTD_4,avgTD_5,avgEI_0,avgEI_1,avgEI_2,avgEI_3,avgEI_4,avgEI_5,avgSSG_0,avgSSG_1,avgSSG_2,avgSSG_3,avgSSG_4,avgSSG_5,friBM,friTD,friEI,friSSG,count_0,count_1,count_2,count_3,count_4,count_5,gMentor0,gMentor1,gMentor3,annualRetireeCount,annualHireCount,crisisState
1,2027.01,3.8327188499157576,4.6895297226268315,4.8213225615367605,4.373173105289734,4.804759909444021,4.668701227801397,3.7703412733949597,4.755928121070318,4.823896177582956,4.507200956566093,4.791067540797422,4.690335368169173,3.4984577901153364,4.736705081162672,3.656990664796808,4.785439420320332,3.4000715923649705,3.1583144213052603,4.05714124526457,4.658492355745713,4.932180917556056,4.398279437979026,4.93395277213251,4.844989982472681,0.9099053627760252,0.8364668769716088,0.8442902208201892,0.9482649842271293,3025,550,233,3652,63,402,0.38570774163994503,0.6467065868263473,0.5210329029571013,0,0,0
1,2028.01,3.7356281537929164,4.243376511503994,4.854998331903524,4.224430022408666,4.843900626436361,4.6933866581016535,3.679270893971384,4.431952259325786,4.854753020176121,4.425666086780434,4.831143733907735,4.709524736905796,3.3121407551019226,4.497706113761438,3.681572429919104,4.681405373815107,3.436804878377384,3.164846457125699,3.94014860994834,4.155604887897402,4.953097916175442,4.1785109435673915,4.9538252887443495,4.863171755329763,0.8800945732943031,0.8630938977707724,0.8013960819635217,0.9215266831794641,3296,740,229,4166,62,389,0.3274265002013693,0.39622641509433965,0.4136409908381405,303,0,0
1,2029.01,3.730157180062714,4.177527698629525,4.870442356715815,4.20866382606673,4.880763252114451,4.71657258217186,3.6720850703944756,4.394567650381288,4.8708199828563385,4.435763093625492,4.867642686832587,4.729660489115211,3.268013677827805,4.492327528054465,3.69737695586319,4.682662613620681,3.477602797091559,3.18541992873653,3.924991670610291,4.080404924898648,4.953700765263092,4.135753373906772,4.970078365711062,4.8766544044737135,0.8729738670195171,0.8734149299812548,0.7921490792810674,0.9144337854228691,3331,797,228,4275,62,376,0.3109012199921291,0.34175084175084175,0.38126009693053314,293,15,0
1,2030.01,3.7366315388905607,4.140245987627557,4.887624799254226,4.211421967532107,4.907757111584944,4.724823394550989,3.675515906024815,4.380227840369242,4.885334482824208,4.456435779894912,4.891945894652769,4.735393188450626,3.237634592866376,4.501663061280489,3.698091916834262,4.6972372008219585,3.488036675384831,3.188816818275358,3.9240196877516342,4.0323661390356875,4.957040677335173,4.116869568912771,4.983632640001825,4.879162639742987,0.8826502582133832,0.8819909900010988,0.7850785627952972,0.9237446434457752,3298,845,217,4315,59,367,0.2974036191974823,0.2980030721966206,0.3603404791929382,324,15,0
1,2031.01,3.7364477711738164,4.104090614009665,4.913584569699364,4.208139182970575,4.930800052122411,4.718721616387602,3.673287975997372,4.365298581355604,4.909679876638578,4.470489918879297,4.918963652664568,4.726503126621589,3.202356150834467,4.510934100520944,3.723108224519413,4.705890422744405,3.517420338992056,3.1744310933860858,3.9152828055460627,3.9885731205895634,4.966184216970599,4.09021336707523,4.995026269528284,4.871955089993655,0.8958378261807203,0.8905542376536554,0.7765796851412551,0.9353029976277766,3311,909,213,4427,58,356,0.28134674922600617,0.26955307262569833,0.33463973470003017,262,16,0
1,2032.01,3.7517271532042384,4.074911310157762,4.921199372017316,4.208679945584132,4.950918465438595,4.722838499584849,3.6863337407065178,4.355000459947874,4.917125376872333,4.486288035307285,4.938201313825858,4.722805035476924,3.17520763140771,4.5226729441473665,3.730040968563823,4.717130672725064,3.5313811309258045,3.1534500552120703,3.9229048937883113,3.9527670689474372,4.957574245266854,4.067247355749848,5.0,4.875806270676887,0.8963303733818337,0.8982561249598802,0.7722263827966193,0.9343104739488606,3291,955,211,4507,56,327,0.27016595908915475,0.24025974025974026,0.3097936646323743,305,13,0
1,2033.01,3.7877934424455386,4.1154340210261955,4.931087030652182,4.25356973934968,4.967342333568124,4.7260335379865195,3.71850318479917,4.400269411733199,4.930473816650497,4.532221213040324,4.955526536953408,4.722208389245283,3.185724881155601,4.582195133594299,3.747397366301057,4.762669500279937,3.5581856436414525,3.148972528144147,3.956386661976805,3.991770979592462,4.95642334108026,4.1018816972700956,5.0,4.874845966120576,0.9066725294052984,0.9013960646366934,0.7749807628888644,0.9428382983401121,3160,945,207,4421,55,309,0.2680577849117175,0.23046875,0.3056704075605434,265,15,0
1,2034.01,3.823519000367525,4.141108917020024,4.938407505421729,4.288837896578771,4.980277497082065,4.7331899952063345,3.7486085187991236,4.43217539901412,4.9390504372701045,4.571572245225374,4.969436259356333,4.7253514567836605,3.1958050702635745,4.627375079962267,3.7674267086648037,4.8021365411657975,3.5714635520373013,3.1449987235504393,3.9885192540718126,4.014516683738763,4.954736470947617,4.125372669060229,5.0,4.87519882961617,0.9171095781974443,0.9037656903765691,0.7740585774058577,0.9537487278073052,3053,925,205,4311,52,297,0.2626137303556658,0.21550591327201052,0.2973216972615107,267,13,0
1,2035.01,3.8563900824860826,4.162945777280212,4.9350562217004565,4.32177986091049,4.99211770187964,4.721986250950301,3.776805148321625,4.460180622378925,4.935239941216965,4.604001938206299,4.9802918852475075,4.707925819731423,3.2017508476211485,4.676419446249422,3.7232939463461556,4.835009601473603,3.564152907198537,3.118961064978243,4.018390281971423,4.033443227004343,4.949937821558433,4.145682837813567,5.0,4.866869213891617,0.9264448336252189,0.9064798598949212,0.7712784588441332,0.9642732049036777,2942,910,199,4190,48,276,0.25458422174840084,0.19736842105263158,0.28843788437884377,291,13,0
1,2036.01,3.896374506411582,4.184304760139201,4.935788116012522,4.345026095910826,4.999783107891329,4.6944081540705165,3.8116460741487828,4.485301711593385,4.935098220894654,4.6197416480247115,4.990484660924364,4.672365904763849,3.2009315756371195,4.721671235860114,3.6770035030520622,4.854923882205575,3.5378645448506143,3.0845919354139695,4.053181146377654,4.051955176890092,4.950881612267978,4.153765418738452,5.0,4.846372843509532,0.9277635899306822,0.9090356317645628,0.7668734038672017,0.9657059467347683,2805,897,185,4043,42,251,0.25279142474318894,0.18181818181818182,0.2749921160517187,357,15,0
1,2037.01,3.936125920617016,4.192362024909807,4.919311309042988,4.373513590818587,5.0,4.674416898314501,3.842763907647374,4.4962774097748435,4.917343902236666,4.637762029329275,4.997808587738575,4.641953131423077,3.195824594011482,4.746552325371758,3.621887206578192,4.87341717018948,3.5244912214657496,3.0503994254255073,4.087118366165663,4.054310573302433,4.9346481755277605,4.164367607475438,5.0,4.833259991610003,0.9285714285714286,0.911727456940223,0.7594984802431611,0.9678318135764944,2686,874,180,3883,38,235,0.24756154203437064,0.15915119363395225,0.26523297491039427,345,18,0
